Year;Glob;NHem;SHem;24N-90N;24S-24N;90S-24S;64N-90N;44N-64N;24N-44N;EQU-24N;24S-EQU;44S-24S;64S-44S;90S-64S
1880;-0.17;-0.29;-0.05;-0.38;-0.13;-0.02;-0.79;-0.51;-0.28;-0.15;-0.11;-0.04;0.05;0.68
1881;-0.09;-0.18;0.00;-0.35;0.10;-0.07;-0.91;-0.48;-0.19;0.10;0.10;-0.06;-0.07;0.60
1882;-0.11;-0.21;-0.01;-0.31;-0.05;0.01;-1.40;-0.29;-0.14;-0.05;-0.05;0.01;0.04;0.63
1883;-0.17;-0.28;-0.07;-0.34;-0.16;-0.01;-0.15;-0.57;-0.24;-0.17;-0.15;-0.04;0.07;0.50
1884;-0.28;-0.43;-0.15;-0.60;-0.14;-0.14;-1.28;-0.65;-0.47;-0.12;-0.17;-0.19;-0.02;0.65
1885;-0.33;-0.43;-0.24;-0.65;-0.13;-0.27;-1.48;-0.69;-0.46;-0.06;-0.20;-0.34;-0.15;0.82
1886;-0.31;-0.43;-0.20;-0.56;-0.19;-0.21;-1.56;-0.51;-0.40;-0.21;-0.18;-0.20;-0.20;0.59
1887;-0.36;-0.43;-0.29;-0.52;-0.29;-0.28;-1.74;-0.52;-0.29;-0.29;-0.30;-0.28;-0.26;0.32
1888;-0.17;-0.23;-0.12;-0.41;0.10;-0.29;-1.27;-0.44;-0.24;0.08;0.13;-0.31;-0.22;0.16
1889;-0.1;-0.17;-0.04;-0.29;0.08;-0.16;-0.66;-0.23;-0.27;0.02;0.14;-0.15;-0.15;0.45
1890;-0.35;-0.38;-0.32;-0.45;-0.36;-0.22;-1.12;-0.57;-0.26;-0.26;-0.47;-0.18;-0.27;0.15
1891;-0.22;-0.25;-0.19;-0.42;-0.07;-0.21;-1.10;-0.35;-0.36;0.01;-0.16;-0.18;-0.23;-0.15
1892;-0.27;-0.39;-0.15;-0.43;-0.30;-0.08;-1.11;-0.67;-0.17;-0.33;-0.26;0.02;-0.21;0.09
1893;-0.31;-0.47;-0.15;-0.50;-0.36;-0.05;-0.58;-0.55;-0.46;-0.42;-0.30;0.07;-0.20;-0.04
1894;-0.3;-0.38;-0.21;-0.32;-0.33;-0.24;-0.88;-0.34;-0.18;-0.48;-0.18;-0.15;-0.35;-0.37
1895;-0.22;-0.30;-0.15;-0.40;-0.07;-0.26;-0.64;-0.53;-0.27;-0.14;0.01;-0.20;-0.32;-0.58
1896;-0.11;-0.19;-0.03;-0.34;0.10;-0.15;-0.82;-0.38;-0.22;0.05;0.15;-0.16;-0.13;0.26
1897;-0.11;-0.16;-0.05;-0.35;0.17;-0.24;-0.50;-0.47;-0.24;0.14;0.21;-0.20;-0.27;0.41
1898;-0.27;-0.28;-0.26;-0.35;-0.21;-0.27;-1.13;-0.25;-0.23;-0.17;-0.26;-0.28;-0.21;0.38
1899;-0.17;-0.20;-0.14;-0.24;-0.11;-0.19;-1.00;-0.11;-0.15;-0.15;-0.07;-0.16;-0.22;0.59
1900;-0.08;-0.09;-0.06;-0.20;0.17;-0.30;-0.51;-0.17;-0.15;0.09;0.26;-0.29;-0.29;0.27
1901;-0.15;-0.12;-0.18;-0.16;-0.03;-0.30;-0.34;-0.11;-0.15;-0.06;-0.01;-0.27;-0.33;0.26
1902;-0.28;-0.33;-0.22;-0.54;-0.03;-0.35;-1.49;-0.52;-0.32;-0.01;-0.04;-0.28;-0.43;-0.04
1903;-0.37;-0.37;-0.36;-0.46;-0.28;-0.38;-0.20;-0.43;-0.56;-0.23;-0.33;-0.35;-0.40;-0.49
1904;-0.47;-0.48;-0.45;-0.52;-0.45;-0.44;-0.20;-0.61;-0.55;-0.43;-0.48;-0.37;-0.49;-1.32
1905;-0.26;-0.28;-0.22;-0.40;-0.07;-0.35;-0.01;-0.24;-0.62;-0.10;-0.04;-0.33;-0.37;-0.34
1906;-0.22;-0.23;-0.20;-0.25;-0.18;-0.23;-0.25;-0.08;-0.39;-0.20;-0.17;-0.20;-0.22;-0.72
